ind,constrains,structura_decoding,neurological_decoding,fairseq,target,sd_nd_cosine,sd_re_cosine,sd_nd_diff
0,"[[""Munich"", ""root""]]
","Beautiful Munich girl 2018: Beautiful Munich woman 2018 in Hvar: Nine dates
","Beautiful Munich girl 2018: Beautiful Munich woman 2018 in Hvar: Nine dates
","Beautiful Munich 2018: Beautiful Munich 2018 in Hvar: Nine Dates
","The Beauty of Munich 2018: the Beauty of Munich 2018 in Hvar: Nine dates
",1.0,0.7071067811865476,-0.2928932188134524
1,"[[""www.ecs-webhosting.de"", ""root""], [""04.05.2018"", ""obl""]]
","By az, updated on 04.
","By az, updated on 04.05.2018 at 11:11
","By az, updated on 04 / 05 / 2018 at 11: 11
","From A-Z, updated on 04/05/2018 at 11:11
",0.6666666666666666,0.3333333333333333,-0.3333333333333333
2,"[[""she"", ""nsubj""], [""to"", ""root""], [""want"", ""root""], [""to"", ""root""], [""do"", ""root""], [""sth"", ""root""]]
","Yeah, she wants...
","Yeah, she wants...
","Yes, she wants...
","Yes, she wants to...
",1.0,0.75,-0.25
3,"[[""2018"", ""obl""], [""he's"", ""root""], [""just"", ""root""], [""turned"", ""root""], [""thirty"", ""root""], [""or"", ""root""], [""had"", ""root""], [""his"", ""root""], [""30th"", ""root""], [""birthday"", ""root""]]
","""Beautiful Munich"" 2018 will be!
","""Beautiful Munich"" 2018 will be!
","Become a ""beautiful Munich woman"" in 2018!
","to become ""The Beauty of Munich"" in 2018!
",1.0,0.7216878364870323,-0.2783121635129677
4,"[[""afternoon"", ""obl""], [""to"", ""root""], [""wait"", ""root""], [""surprise"", ""nsubj""], [""no"", ""nsubj""], [""she"", ""nsubj""], [""photocall"", ""obj""]]
","In the afternoon, another surprise awaits our candidates: they will not contest the romantic candlelight shooting before the MY SOLARIS alone, but alongside Male-Model Fabian!
","In the afternoon, another surprise awaits our candidates: they will not contest the romantic candlelight shooting before the MY SOLARIS alone, but alongside Male-Model Fabian!
","In the afternoon another surprise awaits our candidates: they will not do the romantic candlelight shooting in front of the MY SOLARIS alone, but at the side of male model Fabian!
","In the afternoon there is another surprise waiting for our contestants: they will be competing for the romantic candlelight photo shoot at MY SOLARIS not alone, but together with a male-model Fabian!
",1.0,0.6668859288553503,-0.33311407114464975
5,"[[""free-st.htnet"", ""root""], ["".hr"", ""root""], [""job"", ""obj""]]
","Hvar - flirt, flirt, seduce - no easy tasks for our girls.
","Hvar - flirt, flirt, seduce - no easy tasks for our girls.
","Hvar - Flirting, flirting, seducing - not easy tasks for our girls.
","Hvar with its flirting, coquetting, and seduction is not an easy task for our girls.
",1.0,0.5555555555555556,-0.4444444444444444
6,"[[""then"", ""root""], [""Germany"", ""obl""], [""Friend"", ""nsubj""]]
","Especially when a friend is waiting in Germany.
","Especially when a friend is waiting in Germany.
","Especially if a friend is waiting in Germany.
","Especially when there is a boyfriend waiting in Germany.
",1.0,0.8,-0.19999999999999996
7,"[[""to"", ""root""], [""deliver"", ""root""], [""sth"", ""root""], [""to"", ""root""], [""sb"", ""root""], [""Munich"", ""nsubj""], [""photocall"", ""obl""], [""wind"", ""obj""]]
","Nevertheless, the nine ""Beautiful Munich"" candidates perform shooting with people photographer Tuan and defy wind, spray and rain like real professionals.
","Nevertheless, the nine ""Beautiful Munich"" candidates perform shooting with people photographer Tuan and defy wind, spray and rain like real professionals.
","Nevertheless, the nine ""Schöne Müncherin"" -candidates deliver during the shooting with people photographer Tuan and defy wind, spray and rain like real professionals.
","Despite dealing with wind, sprays and rain, the nine contestants of ""The Beauty of Munich"" behaved like real professionals at the photo shoot with People-photographer Tuan.
",1.0,0.5582905262390825,-0.4417094737609175
8,"[[""photocall"", ""nsubj""], [""to"", ""root""], [""give"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""video"", ""obl""]]
","The romantic shoot is in the video:
","The romantic shoot is in the video:
","The romantic shooting can be seen in the video:
","You may watch the romantic photoshoot on the video:
",1.0,0.50709255283711,-0.49290744716289003
9,"[[""head"", ""nsubj""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""basis"", ""obj""]]
","DFB boss Grindel sees no basis for Özil comeback
","DFB boss Grindel sees no basis for Özil comeback
","DFB chief Grindel sees no basis for Özil comeback
","The president of DFB Grindel sees no basis for the returning of Özil
",1.0,0.6681531047810609,-0.33184689521893906
10,"[[""Berlin"", ""nsubj""], [""to"", ""root""], [""see"", ""root""], [""sb"", ""root""], [""sth"", ""root""], [""basis"", ""obj""], [""national"", ""obl""], [""team"", ""obl""]]
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil to return to the national team.
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil to return to the national team.
","Berlin DFB President Reinhard Grindel currently sees no basis for Mesut Özil's return to the national team.
","Berlin - The president of DFB Reinhard Grindel sees no basis for the returning of Mesut Özil to the national team.
",1.0,0.7590721152765897,-0.2409278847234103
